language,link_bin,accuracy,n,smoothed_accuracy
hindi,0,0.42857142857142855,21,0.4432258064516129
hindi,1–4,0.5416666666666666,72,0.5334146341463415
hindi,5–9,0.5714285714285714,7,0.5141176470588236
hindi,10–49,,0,0.47400000000000003
hindi,50–99,,0,0.47400000000000003
hindi,100–499,,0,0.47400000000000003
hindi,500–999,,0,0.47400000000000003
hindi,1000–4999,,0,0.47400000000000003
hindi,5000+,,0,0.47400000000000003
indonesian,0,0.21052631578947367,19,0.30137931034482757
indonesian,1–4,0.5428571428571428,35,0.5275555555555556
indonesian,5–9,0.5357142857142857,28,0.5194736842105264
indonesian,10–49,0.7222222222222222,18,0.6335714285714287
indonesian,50–99,,0,0.47400000000000003
indonesian,100–499,,0,0.47400000000000003
indonesian,500–999,,0,0.47400000000000003
indonesian,1000–4999,,0,0.47400000000000003
indonesian,5000+,,0,0.47400000000000003
japanese,0,0.5,2,0.47833333333333333
japanese,1–4,0.32,25,0.364
japanese,5–9,0.42857142857142855,28,0.4405263157894737
japanese,10–49,0.6222222222222222,45,0.5952727272727273
japanese,50–99,,0,0.47400000000000003
japanese,100–499,,0,0.47400000000000003
japanese,500–999,,0,0.47400000000000003
japanese,1000–4999,,0,0.47400000000000003
japanese,5000+,,0,0.47400000000000003
tamil,0,0.5,10,0.487
tamil,1–4,0.43137254901960786,51,0.43836065573770494
tamil,5–9,0.4857142857142857,35,0.48311111111111116
tamil,10–49,0.25,4,0.41000000000000003
tamil,50–99,,0,0.47400000000000003
tamil,100–499,,0,0.47400000000000003
tamil,500–999,,0,0.47400000000000003
tamil,1000–4999,,0,0.47400000000000003
tamil,5000+,,0,0.47400000000000003
vietnamese,0,0.23076923076923078,13,0.3365217391304348
vietnamese,1–4,0.4383561643835616,73,0.4426506024096386
vietnamese,5–9,0.35714285714285715,14,0.4058333333333333
vietnamese,10–49,,0,0.47400000000000003
vietnamese,50–99,,0,0.47400000000000003
vietnamese,100–499,,0,0.47400000000000003
vietnamese,500–999,,0,0.47400000000000003
vietnamese,1000–4999,,0,0.47400000000000003
vietnamese,5000+,,0,0.47400000000000003
